         2093178 function calls (2075061 primitive calls) in 13.346 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      434    0.001    0.000    0.001    0.000 style.kv:232(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:235(__init__)
       80    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
       10    0.000    0.000    0.001    0.000 extras.py:239(getdoc)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       74    0.000    0.000    0.001    0.000 parser.py:306(_build_rule)
        1    0.000    0.000    0.001    0.001 stride_tricks.py:1(<module>)
     4050    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      395    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
     1500    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
        1    0.000    0.000    0.001    0.001 window_sdl2.py:391(set_icon)
      684    0.001    0.000    0.001    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.001    0.001 configparser.py:996(_read)
        1    0.001    0.001    0.001    0.001 {method 'set_window_icon' of 'kivy.core.window._window_sdl2._WindowSDL2Storage' objects}
      738    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
       28    0.000    0.000    0.001    0.000 image.py:290(_clear_core_image)
     2370    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      577    0.001    0.000    0.001    0.000 style.kv:234(<module>)
       49    0.001    0.000    0.001    0.000 {built-in method PIL._imaging.new}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       18    0.000    0.000    0.001    0.000 enum.py:221(<setcomp>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:543(_find_module_shim)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1488(find_loader)
       56    0.000    0.000    0.001    0.000 __init__.py:916(format)
        1    0.000    0.000    0.001    0.001 tilepicker.py:1(<module>)
      924    0.001    0.000    0.001    0.000 classes.py:620(__init__)
      506    0.001    0.000    0.001    0.000 style.kv:237(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:290(register)
        1    0.000    0.000    0.001    0.001 base_futures.py:1(<module>)
      329    0.000    0.000    0.001    0.000 scrollview.py:1170(_get_uid)
        1    0.000    0.000    0.001    0.001 glob.py:11(glob)
     1500    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
        2    0.000    0.000    0.001    0.000 glob.py:42(_iglob)
        9    0.001    0.000    0.001    0.000 cache.py:213(_purge_by_timeout)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
     3872    0.001    0.000    0.001    0.000 {method 'values' of 'collections.OrderedDict' objects}
        9    0.000    0.000    0.001    0.000 scrollview.py:515(_set_viewport_size)
        1    0.001    0.001    0.001    0.001 ImagePalette.py:24(ImagePalette)
       39    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
       28    0.000    0.000    0.001    0.000 image.py:326(remove_from_cache)
      453    0.001    0.000    0.001    0.000 style.kv:239(<module>)
      477    0.000    0.000    0.001    0.000 ignorelist.py:36(process)
      190    0.000    0.000    0.001    0.000 animation.py:161(stop_all)
        1    0.000    0.000    0.001    0.001 __init__.py:411(PercentStyle)
        1    0.000    0.000    0.001    0.001 base.py:491(_runTouchApp_prepare)
        2    0.000    0.000    0.001    0.000 base.py:610(stopTouchApp)
       91    0.001    0.000    0.001    0.000 image.py:287(on_texture)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
        1    0.000    0.000    0.001    0.001 glob.py:82(_glob1)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      126    0.001    0.000    0.001    0.000 scrollview.py:619(_update_effect_x)
      731    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
       72    0.000    0.000    0.001    0.000 ntpath.py:77(join)
       99    0.000    0.000    0.001    0.000 mouse.py:83(depack)
      730    0.001    0.000    0.001    0.000 classes.py:501(__init__)
       15    0.000    0.000    0.001    0.000 genericpath.py:27(isfile)
     1181    0.000    0.000    0.001    0.000 parser.py:272(create_missing)
      166    0.000    0.000    0.001    0.000 scrollview.py:297(_get_vbar)
      165    0.000    0.000    0.001    0.000 style.kv:994(<module>)
     4664    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
       28    0.000    0.000    0.001    0.000 __init__.py:565(remove_from_cache)
     1678    0.001    0.000    0.001    0.000 Image.py:2898(_decompression_bomb_check)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:757(create_module)
     1435    0.001    0.000    0.001    0.000 {method 'pop' of 'collections.deque' objects}
       70    0.000    0.000    0.000    0.000 ntpath.py:203(splitext)
      601    0.000    0.000    0.000    0.000 {method 'remove' of 'kivy.graphics.instructions.Canvas' objects}
       54    0.000    0.000    0.000    0.000 ntpath.py:180(split)
        2    0.000    0.000    0.000    0.000 subprocess.py:1184(wait)
        2    0.000    0.000    0.000    0.000 subprocess.py:1462(_wait)
       15    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
     1395    0.000    0.000    0.000    0.000 widget.py:1084(get_right)
       90    0.000    0.000    0.000    0.000 context.py:67(push)
      108    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 {built-in method _winapi.WaitForSingleObject}
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
      477    0.000    0.000    0.000    0.000 wm_pen.py:94(update)
   450/90    0.000    0.000    0.000    0.000 widget.py:759(get_root_window)
      143    0.000    0.000    0.000    0.000 PngImagePlugin.py:189(crc)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       83    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 app.py:629(load_kv)
       54    0.000    0.000    0.000    0.000 config.py:495(get)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 motionevent.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gridlayout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scroll.py:1(<module>)
      742    0.000    0.000    0.000    0.000 parser.py:143(__init__)
     1216    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
        4    0.000    0.000    0.000    0.000 scrollview.py:664(simulate_touch_down)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
        2    0.000    0.000    0.000    0.000 splitter.py:178(__init__)
       65    0.000    0.000    0.000    0.000 __init__.py:707(_set_image)
     1453    0.000    0.000    0.000    0.000 widget.py:1099(get_top)
      230    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
        1    0.000    0.000    0.000    0.000 fnmatch.py:54(filter)
        2    0.000    0.000    0.000    0.000 parser.py:404(execute_directives)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
      136    0.000    0.000    0.000    0.000 serialize.py:30(__init__)
      166    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:84(require)
       42    0.000    0.000    0.000    0.000 ntpath.py:214(basename)
        2    0.000    0.000    0.000    0.000 __init__.py:65(parse_kivy_version)
       16    0.000    0.000    0.000    0.000 layout.py:91(add_widget)
     2448    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
     1408    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     2278    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 markup.py:1(<module>)
      106    0.000    0.000    0.000    0.000 text_sdl2.py:49(_render_end)
     1921    0.000    0.000    0.000    0.000 __init__.py:786(_get_text)
      384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        1    0.000    0.000    0.000    0.000 fnmatch.py:44(_compile_pattern)
        6    0.000    0.000    0.000    0.000 getlimits.py:35(__init__)
       25    0.000    0.000    0.000    0.000 widget.py:260(_widget_destructor)
        3    0.000    0.000    0.000    0.000 scrollview.py:1150(add_widget)
      148    0.000    0.000    0.000    0.000 __init__.py:102(__init__)
     1202    0.000    0.000    0.000    0.000 {built-in method _weakref.proxy}
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      297    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
      189    0.000    0.000    0.000    0.000 motionevent.py:356(scale_for_screen)
  755/721    0.000    0.000    0.000    0.000 widget.py:1433(inc_disabled)
     1251    0.000    0.000    0.000    0.000 {built-in method time.time}
       14    0.000    0.000    0.000    0.000 boxlayout.py:325(add_widget)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 relativelayout.py:1(<module>)
      284    0.000    0.000    0.000    0.000 function_base.py:461(_add_docstring)
        1    0.000    0.000    0.000    0.000 metrics.py:1(<module>)
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.000    0.000 wintypes.py:2(<module>)
       56    0.000    0.000    0.000    0.000 __init__.py:650(format)
       90    0.000    0.000    0.000    0.000 context.py:72(pop)
     1839    0.000    0.000    0.000    0.000 widget.py:1421(get_disabled)
        9    0.000    0.000    0.000    0.000 mouse.py:245(on_mouse_press)
      477    0.000    0.000    0.000    0.000 wm_common.py:69(<lambda>)
      106    0.000    0.000    0.000    0.000 {method 'get_data' of 'kivy.core.text._text_sdl2._SurfaceContainer' objects}
       54    0.000    0.000    0.000    0.000 configparser.py:765(get)
        2    0.000    0.000    0.000    0.000 gridlayout.py:574(do_layout)
       39    0.000    0.000    0.000    0.000 scrollview.py:615(_update_effect_bounds)
     2763    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      405    0.000    0.000    0.000    0.000 scrollview.py:842(<genexpr>)
        4    0.000    0.000    0.000    0.000 treeview.py:506(on_touch_down)
        1    0.000    0.000    0.000    0.000 __init__.py:1835(configure_keyboards)
     1001    0.000    0.000    0.000    0.000 parser.py:725(match)
     2763    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
      460    0.000    0.000    0.000    0.000 classes.py:294(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       63    0.000    0.000    0.000    0.000 button.py:137(on_touch_down)
       40    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      784    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
     1512    0.000    0.000    0.000    0.000 {method 'property' of 'kivy._event.EventDispatcher' objects}
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
      392    0.000    0.000    0.000    0.000 parser.py:202(<listcomp>)
     1060    0.000    0.000    0.000    0.000 clock.py:801(get_time)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
      204    0.000    0.000    0.000    0.000 {method 'funbind' of 'kivy._event.EventDispatcher' objects}
       30    0.000    0.000    0.000    0.000 configparser.py:805(_get_conv)
       12    0.000    0.000    0.000    0.000 boxlayout.py:311(<listcomp>)
       57    0.000    0.000    0.000    0.000 enum.py:977(__and__)
      600    0.000    0.000    0.000    0.000 widget.py:1440(dec_disabled)
      306    0.000    0.000    0.000    0.000 _binary.py:91(o32be)
       70    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
      536    0.000    0.000    0.000    0.000 _binary.py:74(i32be)
       28    0.000    0.000    0.000    0.000 logger.py:288(format)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:34(<module>)
       28    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
      918    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      366    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       18    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
        1    0.000    0.000    0.000    0.000 mapinfo.py:43(set_height)
      477    0.000    0.000    0.000    0.000 retaintouch.py:36(process)
      376    0.000    0.000    0.000    0.000 classes.py:683(__init__)
       14    0.000    0.000    0.000    0.000 animation.py:205(start)
     1875    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        4    0.000    0.000    0.000    0.000 treeview.py:389(get_node_at_pos)
        9    0.000    0.000    0.000    0.000 mouse.py:199(create_touch)
       30    0.000    0.000    0.000    0.000 configparser.py:802(_get)
    13/10    0.000    0.000    0.000    0.000 typing.py:271(inner)
      567    0.000    0.000    0.000    0.000 widget.py:392(__hash__)
     1738    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      477    0.000    0.000    0.000    0.000 calibration.py:144(process)
     1808    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      787    0.000    0.000    0.000    0.000 classes.py:211(width)
      255    0.000    0.000    0.000    0.000 __init__.py:1424(debug)
       25    0.000    0.000    0.000    0.000 builder.py:801(unbind_widget)
      108    0.000    0.000    0.000    0.000 base.py:318(_dispatch_input)
      477    0.000    0.000    0.000    0.000 wm_common.py:70(<lambda>)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:354(_get_scalar_type_map)
      395    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:467(Image)
      293    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:365(<dictcomp>)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)
      428    0.000    0.000    0.000    0.000 widget.py:344(<dictcomp>)
      752    0.000    0.000    0.000    0.000 classes.py:696(name)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 _base.py:4(<module>)
        2    0.000    0.000    0.000    0.000 config.py:398(__init__)
       48    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
       49    0.000    0.000    0.000    0.000 Image.py:413(_getdecoder)
      785    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      654    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.000    0.000 mapinfo.py:20(order_mapinfos)
     1876    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:125(add_path)
        2    0.000    0.000    0.000    0.000 configparser.py:601(__init__)
        1    0.000    0.000    0.000    0.000 proactor_events.py:1(<module>)
      549    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      160    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _collections_abc.py:767(__contains__)
      375    0.000    0.000    0.000    0.000 scrollview.py:651(to_local)
       28    0.000    0.000    0.000    0.000 Image.py:436(_getencoder)
      238    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       21    0.000    0.000    0.000    0.000 configparser.py:816(getint)
        8    0.000    0.000    0.000    0.000 os.py:682(__setitem__)
      235    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       43    0.000    0.000    0.000    0.000 style.kv:128(<module>)
      227    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      477    0.000    0.000    0.000    0.000 dejitter.py:48(process)
        2    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      134    0.000    0.000    0.000    0.000 metrics.py:139(sp)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
       13    0.000    0.000    0.000    0.000 pkgutil.py:406(get_importer)
      536    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
     1224    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:887(__new__)
      176    0.000    0.000    0.000    0.000 os.py:746(encodekey)
       51    0.000    0.000    0.000    0.000 PngImagePlugin.py:408(chunk_IHDR)
        9    0.000    0.000    0.000    0.000 motionevent.py:160(__init__)
       44    0.000    0.000    0.000    0.000 boxlayout.py:156(_iterate_layout)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      154    0.000    0.000    0.000    0.000 style.kv:1001(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:103(_safe_realpath)
       99    0.000    0.000    0.000    0.000 __init__.py:694(_get_effective_size)
        1    0.000    0.000    0.000    0.000 ntpath.py:625(realpath)
       45    0.000    0.000    0.000    0.000 scrollview.py:599(_update_effect_x_bounds)
       67    0.000    0.000    0.000    0.000 label.py:420(on_touch_down)
       30    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
       91    0.000    0.000    0.000    0.000 image.py:104(get_image_ratio)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       40    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        6    0.000    0.000    0.000    0.000 numeric.py:2514(extend_all)
        8    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
      631    0.000    0.000    0.000    0.000 {built-in method _struct.unpack_from}
       83    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
      284    0.000    0.000    0.000    0.000 function_base.py:443(_needs_add_docstring)
     1065    0.000    0.000    0.000    0.000 __init__.py:404(get_cached_extents)
      129    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 gridlayout.py:277(__init__)
      132    0.000    0.000    0.000    0.000 classes.py:730(__init__)
        2    0.000    0.000    0.000    0.000 configparser.py:1320(__init__)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       27    0.000    0.000    0.000    0.000 animation.py:213(stop)
       58    0.000    0.000    0.000    0.000 cache.py:167(remove)
       28    0.000    0.000    0.000    0.000 __init__.py:1060(flush)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      384    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
      585    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      577    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       46    0.000    0.000    0.000    0.000 scrollview.py:607(_update_effect_y_bounds)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
        1    0.000    0.000    0.000    0.000 ignorelist.py:26(__init__)
      136    0.000    0.000    0.000    0.000 serialize.py:37(_load)
        2    0.000    0.000    0.000    0.000 {built-in method nt._getfinalpathname}
       26    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      306    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      109    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      877    0.000    0.000    0.000    0.000 __init__.py:849(_set_text_size)
      725    0.000    0.000    0.000    0.000 {method 'add' of 'kivy.graphics.instructions.Canvas' objects}
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 utils.py:67(strtotuple)
       14    0.000    0.000    0.000    0.000 animation.py:131(__init__)
      209    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
    73/50    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       33    0.000    0.000    0.000    0.000 _collections_abc.py:760(get)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      210    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      982    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       83    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       35    0.000    0.000    0.000    0.000 {method 'unbind' of 'kivy._event.EventDispatcher' objects}
      720    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      460    0.000    0.000    0.000    0.000 classes.py:339(pages)
      598    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      147    0.000    0.000    0.000    0.000 utils.py:120(<listcomp>)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       76    0.000    0.000    0.000    0.000 treeview.py:377(toggle_node)
      330    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       11    0.000    0.000    0.000    0.000 motionevent.py:110(__new__)
       94    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       48    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
      132    0.000    0.000    0.000    0.000 dampedscroll.py:106(on_overscroll)
       14    0.000    0.000    0.000    0.000 inspect.py:681(getmodulename)
      126    0.000    0.000    0.000    0.000 enum.py:670(__new__)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
      395    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      159    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
      115    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      460    0.000    0.000    0.000    0.000 classes.py:377(graphic)
        1    0.000    0.000    0.000    0.000 TiffTags.py:381(_populate)
      366    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 ssl.py:182(_TLSAlertType)
      148    0.000    0.000    0.000    0.000 __init__.py:177(add_mipmap)
        1    0.000    0.000    0.000    0.000 configparser.py:376(BasicInterpolation)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       14    0.000    0.000    0.000    0.000 animation.py:282(_initialize)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
       18    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       63    0.000    0.000    0.000    0.000 button.py:161(on_touch_up)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
      747    0.000    0.000    0.000    0.000 classes.py:704(parent_id)
      147    0.000    0.000    0.000    0.000 ImageFile.py:544(_safe_read)
        1    0.000    0.000    0.000    0.000 app.py:772(load_config)
      320    0.000    0.000    0.000    0.000 {kivy.graphics.opengl.glClear}
        1    0.000    0.000    0.000    0.000 animation.py:1(<module>)
       17    0.000    0.000    0.000    0.000 style.kv:20(<module>)
       90    0.000    0.000    0.000    0.000 mouse.py:100(update_graphics)
        1    0.000    0.000    0.000    0.000 base.py:182(close)
       57    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      505    0.000    0.000    0.000    0.000 classes.py:523(character_name)
        1    0.000    0.000    0.000    0.000 base.py:189(stop)
       77    0.000    0.000    0.000    0.000 _collections_abc.py:849(__iter__)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
      831    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       50    0.000    0.000    0.000    0.000 _internal.py:815(_ufunc_doc_signature_formatter)
      376    0.000    0.000    0.000    0.000 mapinfo.py:21(<lambda>)
      979    0.000    0.000    0.000    0.000 {method 'putpalettealpha' of 'ImagingCore' objects}
      142    0.000    0.000    0.000    0.000 _util.py:5(isPath)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
      383    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        8    0.000    0.000    0.000    0.000 typing.py:738(__init__)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
      179    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 treeview.py:1(<module>)
      208    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      519    0.000    0.000    0.000    0.000 context.py:94(get_current_context)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
      714    0.000    0.000    0.000    0.000 {method 'flip_vertical' of 'kivy.graphics.texture.Texture' objects}
        1    0.000    0.000    0.000    0.000 classes.py:3112(load_classes)
       56    0.000    0.000    0.000    0.000 __init__.py:634(formatMessage)
      230    0.000    0.000    0.000    0.000 tilemap.py:282(<lambda>)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
      100    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
        3    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
      228    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      389    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      112    0.000    0.000    0.000    0.000 __init__.py:896(acquire)
        4    0.000    0.000    0.000    0.000 BmpImagePlugin.py:259(_open)
      600    0.000    0.000    0.000    0.000 classes.py:331(y)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        8    0.000    0.000    0.000    0.000 configparser.py:826(getboolean)
        6    0.000    0.000    0.000    0.000 enum.py:971(__or__)
        1    0.000    0.000    0.000    0.000 configparser.py:522(LegacyInterpolation)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      171    0.000    0.000    0.000    0.000 widget.py:470(collide_point)
     1128    0.000    0.000    0.000    0.000 widget.py:996(to_local)
       98    0.000    0.000    0.000    0.000 {method 'register_event_type' of 'kivy._event.EventDispatcher' objects}
        1    0.000    0.000    0.000    0.000 base.py:172(start)
       54    0.000    0.000    0.000    0.000 configparser.py:1142(_unify_values)
       37    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
      227    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      717    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      283    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
        3    0.000    0.000    0.000    0.000 scrollview.py:518(on__viewport)
       51    0.000    0.000    0.000    0.000 BmpImagePlugin.py:53(_dib_accept)
       24    0.000    0.000    0.000    0.000 widget.py:281(__init__)
       99    0.000    0.000    0.000    0.000 motionevent.py:289(depack)
       18    0.000    0.000    0.000    0.000 scroll.py:119(stop)
        1    0.000    0.000    0.000    0.000 factory_registers.py:3(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:831(__getitem__)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
      865    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:416(ImageFileDirectory_v2)
        1    0.000    0.000    0.000    0.000 sysconfig.py:141(is_python_build)
       27    0.000    0.000    0.000    0.000 animation.py:221(cancel)
        1    0.000    0.000    0.000    0.000 sysconfig.py:124(_is_python_source_dir)
        6    0.000    0.000    0.000    0.000 __init__.py:2034(getLogger)
        2    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      248    0.000    0.000    0.000    0.000 animation.py:602(out_quart)
        1    0.000    0.000    0.000    0.000 configparser.py:1310(ConverterMapping)
        1    0.000    0.000    0.000    0.000 scrollview.py:585(on_effect_cls)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1534(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:223(_TLSMessageType)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
