         2093178 function calls (2075061 primitive calls) in 13.346 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  904/901    0.116    0.000    0.116    0.000 wm_touch.py:116(_touch_wndProc)
     1065    0.004    0.000    0.116    0.000 __init__.py:690(render)
     5544    0.043    0.000    0.115    0.000 builder.py:177(create_handler)
      477    0.001    0.000    0.104    0.000 clock.py:780(tick_draw)
      477    0.002    0.000    0.103    0.000 {method '_process_events_before_frame' of 'kivy._clock.CyClockBase' objects}
      959    0.011    0.000    0.097    0.000 {kivy.core.text.text_layout.layout_text}
        4    0.003    0.001    0.097    0.024 tilemap.py:188(load_autotiles)
     4337    0.089    0.000    0.095    0.000 {method 'read' of '_io.TextIOWrapper' objects}
7773/7291    0.037    0.000    0.092    0.000 builder.py:60(call_fn)
    22119    0.005    0.000    0.091    0.000 text_sdl2.py:29(get_extents)
      384    0.003    0.000    0.091    0.000 <frozen importlib._bootstrap>:901(_find_spec)
    22119    0.018    0.000    0.087    0.000 {kivy.core.text._text_sdl2._get_extents}
      366    0.000    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      366    0.002    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      293    0.003    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      731    0.006    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     1623    0.002    0.000    0.077    0.000 Image.py:1155(crop)
        1    0.000    0.000    0.069    0.069 builder.py:1(<module>)
    22225    0.039    0.000    0.069    0.000 text_sdl2.py:24(_get_font_id)
     1755    0.068    0.000    0.068    0.000 {built-in method nt.stat}
    14584    0.007    0.000    0.068    0.000 ImageFile.py:154(load)
        2    0.000    0.000    0.065    0.032 builder.py:335(load_string)
        2    0.000    0.000    0.064    0.032 parser.py:390(__init__)
        2    0.000    0.000    0.064    0.032 parser.py:489(parse)
        1    0.000    0.000    0.064    0.064 builder.py:288(load_file)
       42    0.000    0.000    0.064    0.002 imghdr.py:11(what)
     1554    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.060    0.060 clock.py:1(<module>)
    61/33    0.000    0.000    0.060    0.002 <frozen importlib._bootstrap_external>:1179(exec_module)
    61/33    0.007    0.000    0.060    0.002 {built-in method _imp.exec_dynamic}
   115958    0.042    0.000    0.059    0.000 Image.py:814(load)
      477    0.007    0.000    0.056    0.000 base.py:324(dispatch_input)
        1    0.000    0.000    0.055    0.055 tilepicker.py:10(__init__)
     4500    0.009    0.000    0.055    0.000 Image.py:873(convert)
        4    0.000    0.000    0.054    0.013 context.py:80(register_context)
        1    0.000    0.000    0.054    0.054 clock.py:960(__init__)
        1    0.000    0.000    0.054    0.054 clock.py:613(__init__)
        1    0.000    0.000    0.054    0.054 clock.py:619(init_async_lib)
19314/18828    0.037    0.000    0.051    0.000 {built-in method builtins.setattr}
     4727    0.051    0.000    0.051    0.000 {method '__exit__' of '_io._IOBase' objects}
      954    0.004    0.000    0.050    0.000 builder.py:778(sync)
  373/369    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      864    0.003    0.000    0.048    0.000 tilemap.py:229(create_autotile)
      110    0.048    0.000    0.048    0.000 {method 'decode' of 'ImagingDecoder' objects}
   338/77    0.001    0.000    0.047    0.001 parser.py:258(precompile)
      742    0.003    0.000    0.046    0.000 parser.py:164(precompile)
     7025    0.007    0.000    0.046    0.000 Image.py:560(_new)
   164166    0.028    0.000    0.045    0.000 Image.py:149(isImageType)
    54750    0.018    0.000    0.044    0.000 Image.py:622(_ensure_mutable)
        1    0.000    0.000    0.042    0.042 widget.py:1(<module>)
        8    0.000    0.000    0.042    0.005 ruby_loader.py:19(tileset)
        7    0.001    0.000    0.041    0.006 treeview.py:464(_do_layout)
        1    0.000    0.000    0.040    0.040 base_events.py:1(<module>)
    13503    0.013    0.000    0.040    0.000 {built-in method builtins.eval}
      373    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
       61    0.000    0.000    0.039    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
       61    0.035    0.001    0.039    0.001 {built-in method _imp.create_dynamic}
    54722    0.038    0.000    0.038    0.000 {method 'paste' of 'ImagingCore' objects}
       99    0.001    0.000    0.035    0.000 base.py:233(post_dispatch_input)
     4338    0.005    0.000    0.035    0.000 __init__.py:299(loads)
     1684    0.029    0.000    0.034    0.000 ImagePalette.py:50(palette)
        1    0.019    0.019    0.034    0.034 __init__.py:1237(create_window)
      796    0.001    0.000    0.033    0.000 ImagePalette.py:62(copy)
    28888    0.029    0.000    0.029    0.000 {method 'fbind' of 'kivy._event.EventDispatcher' objects}
     4338    0.007    0.000    0.028    0.000 decoder.py:332(decode)
     1059    0.026    0.000    0.026    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.026    0.026 leftlayout.py:1(<module>)
53851/53849    0.024    0.000    0.026    0.000 {built-in method builtins.getattr}
     3476    0.016    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
    22225    0.025    0.000    0.025    0.000 text_sdl2.py:25(<listcomp>)
     1267    0.001    0.000    0.025    0.000 re.py:203(sub)
26782/26781    0.006    0.000    0.025    0.000 {method 'join' of 'str' objects}
       42    0.024    0.001    0.024    0.001 __init__.py:123(release_data)
        1    0.000    0.000    0.023    0.023 _add_newdocs_scalars.py:1(<module>)
      377    0.023    0.000    0.023    0.000 treeview.py:131(__init__)
     1272    0.023    0.000    0.023    0.000 {method 'sub' of 're.Pattern' objects}
      293    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      293    0.021    0.000    0.021    0.000 {built-in method marshal.loads}
       59    0.000    0.000    0.020    0.000 Image.py:2918(open)
      492    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      316    0.001    0.000    0.019    0.000 overrides.py:183(decorator)
       24    0.000    0.000    0.019    0.001 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
     1287    0.019    0.000    0.019    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.019    0.019 __init__.py:105(core_register_libs)
       39    0.000    0.000    0.019    0.000 _add_newdocs_scalars.py:62(<genexpr>)
      451    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       15    0.000    0.000    0.019    0.001 platform.py:914(system)
       30    0.000    0.000    0.019    0.001 platform.py:825(uname)
        1    0.000    0.000    0.019    0.019 platform.py:360(win32_ver)
        1    0.000    0.000    0.018    0.018 platform.py:261(_syscmd_ver)
        1    0.000    0.000    0.018    0.018 subprocess.py:377(check_output)
        1    0.000    0.000    0.018    0.018 subprocess.py:464(run)
      243    0.001    0.000    0.018    0.000 scrollview.py:829(on_touch_move)
   168348    0.018    0.000    0.018    0.000 {built-in method builtins.hasattr}
      373    0.018    0.000    0.018    0.000 {built-in method io.open_code}
     3425    0.003    0.000    0.018    0.000 re.py:289(_compile)
      320    0.001    0.000    0.018    0.000 classes.py:17(__init__)
     5204    0.009    0.000    0.017    0.000 builder.py:86(update_intermediates)
  642/640    0.008    0.000    0.017    0.000 {built-in method builtins.__build_class__}
       81    0.001    0.000    0.017    0.000 scrollview.py:858(on_scroll_move)
   127453    0.016    0.000    0.016    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.016    0.016 multiarray.py:1(<module>)
   115909    0.015    0.000    0.015    0.000 {method 'pixel_access' of 'ImagingCore' objects}
    102/2    0.005    0.000    0.015    0.007 parser.py:538(parse_level)
        7    0.000    0.000    0.014    0.002 __init__.py:2(<module>)
      968    0.008    0.000    0.014    0.000 serialize.py:72(_load)
    700/7    0.001    0.000    0.014    0.002 treeview.py:478(_do_open_node)
        1    0.000    0.000    0.014    0.014 __init__.py:1232(initialize_gl)
        1    0.000    0.000    0.014    0.014 __init__.py:37(init_gl)
      721    0.003    0.000    0.014    0.000 widget.py:576(add_widget)
       57    0.000    0.000    0.014    0.000 sre_compile.py:759(compile)
      320    0.001    0.000    0.014    0.000 __init__.py:1290(on_flip)
        1    0.000    0.000    0.013    0.013 overrides.py:1(<module>)
    700/7    0.005    0.000    0.013    0.002 treeview.py:490(_do_layout_node)
      385    0.005    0.000    0.013    0.000 label.py:334(_create_label)
       50    0.000    0.000    0.013    0.000 re.py:250(compile)
     4338    0.013    0.000    0.013    0.000 decoder.py:343(raw_decode)
        1    0.000    0.000    0.013    0.013 img_pil.py:1(<module>)
      320    0.002    0.000    0.013    0.000 window_sdl2.py:406(flip)
        1    0.000    0.000    0.013    0.013 subprocess.py:756(__init__)
    16110    0.008    0.000    0.012    0.000 __init__.py:1497(log)
        1    0.000    0.000    0.012    0.012 subprocess.py:1334(_execute_child)
        1    0.012    0.012    0.012    0.012 {built-in method _winapi.CreateProcess}
       99    0.000    0.000    0.012    0.000 __init__.py:1397(on_motion)
      295    0.001    0.000    0.012    0.000 dampedscroll.py:109(apply_distance)
        7    0.000    0.000    0.012    0.002 widget.py:677(clear_widgets)
    28/27    0.000    0.000    0.012    0.000 __init__.py:1436(info)
    28/27    0.000    0.000    0.012    0.000 __init__.py:1565(_log)
      600    0.003    0.000    0.012    0.000 widget.py:650(remove_widget)
      293    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        1    0.000    0.000    0.011    0.011 window_sdl2.py:2(<module>)
        1    0.000    0.000    0.011    0.011 _pickle.py:1(<module>)
        1    0.000    0.000    0.011    0.011 mapinfo.py:1(<module>)
      320    0.011    0.000    0.011    0.000 {method 'flip' of 'kivy.core.window._window_sdl2._WindowSDL2Storage' objects}
      295    0.001    0.000    0.011    0.000 kinetic.py:122(apply_distance)
        1    0.010    0.010    0.011    0.011 {kivy.graphics.opengl.gl_init_symbols}
      276    0.001    0.000    0.011    0.000 dampedscroll.py:93(on_value)
        1    0.000    0.000    0.011    0.011 index_tricks.py:1(<module>)
        1    0.000    0.000    0.011    0.011 splitter.py:1(<module>)
    28/27    0.000    0.000    0.010    0.000 __init__.py:1591(handle)
     2187    0.001    0.000    0.010    0.000 resources.py:46(resource_find)
    28/27    0.000    0.000    0.010    0.000 __init__.py:1645(callHandlers)
      586    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       83    0.000    0.000    0.010    0.000 Image.py:341(preinit)
        8    0.000    0.000    0.010    0.001 button.py:115(__init__)
        1    0.000    0.000    0.010    0.010 ruby_loader.py:1(<module>)
    84/81    0.000    0.000    0.010    0.000 __init__.py:939(handle)
        1    0.000    0.000    0.010    0.010 Image.py:27(<module>)
      117    0.010    0.000    0.010    0.000 {method 'dispatch_children' of 'kivy._event.EventDispatcher' objects}
      373    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        2    0.000    0.000    0.010    0.005 button.py:1(<module>)
     4341    0.004    0.000    0.010    0.000 _bootlocale.py:11(getpreferredencoding)
      273    0.002    0.000    0.009    0.000 dampedscroll.py:58(update_velocity)
